GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mappe_vurdering_2,ntnu.gruppe21.view,ExchangeMenu,275,0,4,0,52,0,11,0,9,0
mappe_vurdering_2,ntnu.gruppe21.view,PortfolioMenu.HoldingRow,18,0,0,0,1,0,1,0,1,0
mappe_vurdering_2,ntnu.gruppe21.view,TodayMenu,705,0,10,0,116,0,17,0,12,0
mappe_vurdering_2,ntnu.gruppe21.view,StockMenu,484,0,6,0,91,0,12,0,9,0
mappe_vurdering_2,ntnu.gruppe21.view,PortfolioMenu,496,0,6,0,91,0,12,0,9,0
mappe_vurdering_2,ntnu.gruppe21.view,TodayMenu.WatchRow,12,0,0,0,1,0,1,0,1,0
mappe_vurdering_2,ntnu.gruppe21.view,ExchangeMenu.MarketRow,15,0,0,0,1,0,1,0,1,0
mappe_vurdering_2,ntnu.gruppe21.view,Screen,346,0,4,0,77,0,16,0,14,0
mappe_vurdering_2,ntnu.gruppe21.gameEngine.challanges,ChallengeType,0,28,0,0,0,7,0,3,0,3
mappe_vurdering_2,ntnu.gruppe21.gameEngine.challanges,Challenge,18,253,3,24,4,62,3,22,0,10
mappe_vurdering_2,ntnu.gruppe21.gameEngine.challanges,ChallengeManager,0,152,1,9,0,35,1,11,0,7
mappe_vurdering_2,ntnu.gruppe21.transaction.calculators,SaleCalculator,0,58,0,0,0,11,0,5,0,5
mappe_vurdering_2,ntnu.gruppe21.transaction.calculators,PurchaseCalculator,0,37,0,0,0,8,0,5,0,5
mappe_vurdering_2,ntnu.gruppe21.transaction,Purchase,0,37,0,2,0,10,0,3,0,2
mappe_vurdering_2,ntnu.gruppe21.transaction,TransactionFactory,0,15,0,0,0,3,0,3,0,3
mappe_vurdering_2,ntnu.gruppe21.transaction,TransactionException,3,4,0,0,1,2,1,1,1,1
mappe_vurdering_2,ntnu.gruppe21.transaction,Transaction,0,31,0,0,0,12,0,6,0,6
mappe_vurdering_2,ntnu.gruppe21.transaction,Sale,0,37,0,2,0,10,0,3,0,2
mappe_vurdering_2,ntnu.gruppe21.gameEngine.strategies,PriceStrategy,1,10,0,0,1,3,1,3,1,3
mappe_vurdering_2,ntnu.gruppe21.gameEngine.strategies,StrategyRegister,9,21,1,1,2,5,2,2,1,2
mappe_vurdering_2,ntnu.gruppe21.gameEngine,Difficulty,0,44,0,0,0,9,0,3,0,3
mappe_vurdering_2,ntnu.gruppe21.gameEngine.strategies.marketsimulator,MarketSimStock,0,51,0,0,0,18,0,9,0,9
mappe_vurdering_2,ntnu.gruppe21.gameEngine.strategies.marketsimulator,MarketSimulator,261,480,32,37,36,87,27,21,1,9
mappe_vurdering_2,ntnu.gruppe21,TestRun.new JPanel() {...},381,0,8,0,48,0,6,0,2,0
mappe_vurdering_2,ntnu.gruppe21,TestRun,109,0,2,0,24,0,5,0,4,0
mappe_vurdering_2,ntnu.gruppe21,Portfolio,0,74,0,2,0,18,0,9,0,8
mappe_vurdering_2,ntnu.gruppe21,Exchange,13,225,3,13,3,54,4,21,1,16
mappe_vurdering_2,ntnu.gruppe21,Player,0,128,1,7,0,38,1,15,0,12
mappe_vurdering_2,ntnu.gruppe21,Share,0,30,0,0,0,8,0,4,0,4
mappe_vurdering_2,ntnu.gruppe21,Exchange.Builder,0,83,0,0,0,30,0,7,0,7
mappe_vurdering_2,ntnu.gruppe21,Stock,20,92,1,1,3,19,3,8,2,8
mappe_vurdering_2,ntnu.gruppe21,Player.Builder,5,55,0,0,2,18,1,6,1,6
mappe_vurdering_2,ntnu.gruppe21,Main,106,0,0,0,26,0,4,0,4,0
mappe_vurdering_2,ntnu.gruppe21,TransactionArchive,0,128,0,6,0,21,0,23,0,20
mappe_vurdering_2,ntnu.gruppe21.filehandler,SaveManager,13,44,1,1,3,13,4,5,3,5
mappe_vurdering_2,ntnu.gruppe21.filehandler,FilehandlerPlayer,39,515,5,19,10,152,6,16,1,8
mappe_vurdering_2,ntnu.gruppe21.filehandler,FilehandlerExchange,92,489,6,36,27,120,6,26,2,9
mappe_vurdering_2,ntnu.gruppe21.filehandler,HighScoreManager,169,67,12,2,42,20,9,3,3,2
mappe_vurdering_2,ntnu.gruppe21.gameEngine.strategies.standard,StandardStrategy,76,10,10,0,23,3,9,2,2,2
